"code","gisaid_country","sequences","cases","percent_sequences_cases","archetype"
"AFG","Afghanistan",1,87385,0.00114436116038222,"Connect"
"ALB","Albania",12,37218,0.032242463324198,"Connect"
"DZA","Algeria",19,75552,0.0251482422702245,"Connect"
"AND","Andorra",24,1538,1.56046814044213,"High Income*"
"AGO","Angola",141,23245,0.606582060658206,"Leverage"
"AIA","Anguilla",6,0,0,"Test"
"ATG","Antigua and Barbuda",38,1930,1.96891191709845,"High Income*"
"ARG","Argentina",1197,1633126,0.0732950182655839,"Strengthen"
"ARM","Armenia",54,38406,0.140603030776441,"Connect"
"ABW","Aruba",1309,0,0,"High Income*"
"AUS","Australia",11489,75060,15.3064215294431,"High Income*"
"AUT","Austria",3890,98463,3.95072260646131,"High Income*"
"AZE","Azerbaijan",1,150031,0.00066652891735708,"Leverage"
"BHS","Bahamas",0,9387,0,"High Income*"
"BHS","Bahamas",0,9387,0,"High Income*"
"BHR","Bahrain",590,48565,1.21486667353032,"High Income*"
"BGD","Bangladesh",946,761358,0.124251666101886,"Strengthen"
"BRB","Barbados",50,4176,1.19731800766284,"High Income*"
"BLR","Belarus",0,147110,0,"Leverage"
"BEL","Belgium",19129,190169,10.0589475676898,"High Income*"
"BLZ","Belize",48,7784,0.616649537512847,"Connect"
"BEN","Benin",90,15832,0.568468923698838,"Test"
"BMU","Bermuda",0,0,0,"High Income*"
"BTN","Bhutan",0,1137,0,"Connect"
"BOL","Bolivia",4,141528,0.00282629585665027,"Connect"
"BIH","Bosnia and Herzegovina",90,30117,0.298834545273434,"Leverage"
"BWA","Botswana",753,125185,0.60150976554699,"Strengthen"
"BRA","Brazil",18813,4974745,0.378170137363825,"Strengthen"
"VGB","British Virgin Islands",22,0,0,"High Income*"
"BRN","Brunei",28,6710,0.417287630402384,"High Income*"
"BGR","Bulgaria",1503,82586,1.81992105199428,"Strengthen"
"BFA","Burkina Faso",1,794,0.125944584382872,"Leverage"
"BDI","Burundi",9,12913,0.0696972043676915,"Connect"
"CPV","Cabo Verde",0,0,0,"Connect"
"KHM","Cambodia",799,84684,0.943507628359548,"Strengthen"
"CMR","Cameroon",0,14321,0,"Leverage"
"CAN","Canada",30612,253353,12.0827462078602,"High Income*"
"CPV","Cape Verde",0,7772,0,"Connect"
"CYM","Cayman Islands",25,0,0,"High Income*"
"CAF","Central African Republic",0,4288,0,"Connect"
"TCD","Chad",0,112,0,"Connect"
"CHL","Chile",4370,308788,1.41521043563869,"High Income*"
"CHN","China",80,5110,1.56555772994129,"High Income*"
"COL","Colombia",961,1661747,0.0578307046740569,"Strengthen"
"COM","Comoros",0,258,0,"Test"
"COG","Congo",72,2586,2.78422273781903,"Connect"
"COK","Cook Islands",0,0,0,"Test"
"CRI","Costa Rica",494,220627,0.223907318687196,"Strengthen"
"CIV","Cote d'Ivoire",0,13053,0,"Connect"
"HRV","Croatia",2248,48159,4.66787101061069,"High Income*"
"CUB","Cuba",0,735797,0,"Leverage"
"CUW","Curacao",285,0,0,"High Income*"
"CYP","Cyprus",1,46854,0.00213428949502711,"High Income*"
"CZE","Czechia",3543,31325,11.3104549082203,"High Income*"
"CZE","Czechia",3543,31325,11.3104549082203,"High Income*"
"COD","Democratic Republic of Congo",33,25614,0.128835792925744,"Strengthen"
"DNK","Denmark",58432,83092,70.3220526645164,"High Income*"
"DJI","Djibouti",0,1191,0,"Connect"
"DMA","Dominica",0,3109,0,"Connect"
"DOM","Dominican Republic",58,72186,0.080347989914942,"Leverage"
"ECU","Ecuador",1562,88007,1.77485881804856,"Strengthen"
"EGY","Egypt",10,46508,0.0215016771308162,"Strengthen"
"SLV","El Salvador",0,31527,0,"Leverage"
"GNQ","Equatorial Guinea",0,3738,0,"Connect"
"ERI","Eritrea",0,2721,0,"Test"
"EST","Estonia",1562,26455,5.90436590436591,"High Income*"
"SWZ","Eswatini",90,27332,0.329284355334407,"Connect"
"ETH","Ethiopia",69,74142,0.0930646597070486,"Connect"
"FRO","Faeroe Islands",0,0,0,"High Income*"
"FLK","Falkland Islands",0,0,0,"Test"
"FJI","Fiji",0,50667,0,"Connect"
"FIN","Finland",6080,48925,12.4271844660194,"High Income*"
