"Date","Location","New Cases/Week","New Sequences/Week","Vaccinated/100, 1 Dose"
2021-03-01,"World",2736300,73222,2.37
2021-03-08,"World",2961217,84797,2.87
2021-03-15,"World",3399054,91052,3.46
2021-03-22,"World",3912511,93669,4.11
2021-03-29,"World",4138453,91970,4.84
2021-04-05,"World",4721920,91038,5.72
2021-04-12,"World",5358050,92935,6.51
2021-04-19,"World",5784577,87248,7.19
2021-04-26,"World",5680979,88024,7.83
2021-05-03,"World",5459823,78993,8.44
2021-05-10,"World",4740358,67168,9.12
2021-05-17,"World",4143497,60293,9.86
2021-05-24,"World",3483041,54823,10.78
2021-05-31,"World",2958305,55234,11.7
2021-06-07,"World",2653162,44949,20.73
2021-06-14,"World",2524779,44103,21.84
2021-06-21,"World",2605104,53986,23.29
2021-06-28,"World",2692608,63081,24.37
2021-07-05,"World",3069955,62592,25.44
2021-07-12,"World",3566400,63861,26.49
2021-07-19,"World",3754605,65908,27.46
2021-07-26,"World",4159560,50499,28.77
2021-08-02,"World",4390267,18154,30.09
2021-03-01,"Africa",66748,524,0.33
2021-03-08,"Africa",71653,694,0.4
2021-03-15,"Africa",70807,529,0.43
2021-03-22,"Africa",78577,484,0.54
2021-03-29,"Africa",85827,382,0.61
2021-04-05,"Africa",79279,285,0.74
2021-04-12,"Africa",81442,315,0.87
2021-04-19,"Africa",75104,329,0.93
2021-04-26,"Africa",64853,354,1.06
2021-05-03,"Africa",60909,405,1.2
2021-05-10,"Africa",55653,354,1.38
2021-05-17,"Africa",67789,443,1.62
2021-05-24,"Africa",70943,498,1.79
2021-05-31,"Africa",92506,709,1.97
2021-06-07,"Africa",121985,463,2.12
2021-06-14,"Africa",160266,780,2.25
2021-06-21,"Africa",210629,939,2.4
2021-06-28,"Africa",253169,946,2.52
2021-07-05,"Africa",284567,709,2.64
2021-07-12,"Africa",282358,421,2.82
2021-07-19,"Africa",235470,247,3.02
2021-07-26,"Africa",275228,26,3.51
2021-08-02,"Africa",272262,0,3.82
2021-03-01,"Asia",543339,3750,0.94
2021-03-08,"Asia",617200,4464,1.19
2021-03-15,"Asia",798444,4441,1.58
2021-03-22,"Asia",1028572,4672,1.98
2021-03-29,"Asia",1339276,7625,2.48
2021-04-05,"Asia",1891932,6552,3.11
2021-04-12,"Asia",2577658,6535,3.57
2021-04-19,"Asia",3236431,7471,3.97
2021-04-26,"Asia",3445924,9867,4.33
2021-05-03,"Asia",3449574,7253,4.62
2021-05-10,"Asia",2883612,6934,4.95
2021-05-17,"Asia",2371235,5347,5.33
2021-05-24,"Asia",1859035,4447,5.94
2021-05-31,"Asia",1373369,3944,6.65
2021-06-07,"Asia",1084720,2768,20.98
2021-06-14,"Asia",939552,3466,22.03
2021-06-21,"Asia",938091,4268,23.68
2021-06-28,"Asia",1010229,3944,24.73
2021-07-05,"Asia",1191060,1592,25.71
2021-07-12,"Asia",1400913,2191,26.66
2021-07-19,"Asia",1479982,1350,27.53
2021-07-26,"Asia",1784274,1834,28.85
2021-08-02,"Asia",1853115,179,30.33
2021-03-01,"Europe",980035,45340,7.91
2021-03-08,"Europe",1155611,52888,9.2
2021-03-15,"Europe",1319025,54801,10.47
2021-03-22,"Europe",1461641,52306,11.89
2021-03-29,"Europe",1420304,45613,13.53
2021-04-05,"Europe",1226156,40273,15.44
2021-04-12,"Europe",1199234,44295,17.6
2021-04-19,"Europe",1079008,42714,19.85
2021-04-26,"Europe",874801,41094,22.16
2021-05-03,"Europe",722751,40780,24.56
2021-05-10,"Europe",589351,36479,27.12
2021-05-17,"Europe",466407,36009,29.54
2021-05-24,"Europe",372490,36357,31.62
2021-05-31,"Europe",314836,40140,33.92
2021-06-07,"Europe",294692,30818,36.38
2021-06-14,"Europe",278423,29301,38.54
2021-06-21,"Europe",332071,36348,40.58
2021-06-28,"Europe",468773,44619,42.66
2021-07-05,"Europe",651915,42169,44.47
2021-07-12,"Europe",906411,41140,46.19
2021-07-19,"Europe",939103,47936,47.71
2021-07-26,"Europe",860290,37382,49.15
2021-08-02,"Europe",861679,14512,50.43
2021-03-01,"North America",506673,22452,10.76
2021-03-08,"North America",465025,25647,13.04
2021-03-15,"North America",465716,29991,15.39
2021-03-22,"North America",534518,34532,17.86
2021-03-29,"North America",531063,36857,20.57
2021-04-05,"North America",613114,41459,23.38
2021-04-12,"North America",595917,39795,26.1
2021-04-19,"North America",529981,34670,28.14
2021-04-26,"North America",460461,34880,29.8
2021-05-03,"North America",402001,28960,31.37
2021-05-10,"North America",344473,21440,33.09
2021-05-17,"North America",274991,16253,35.2
2021-05-24,"North America",228902,11523,37.01
2021-05-31,"North America",189295,9190,38.62
2021-06-07,"North America",183796,9173,39.91
2021-06-14,"North America",164832,9249,41.04
2021-06-21,"North America",176445,10922,42.08
2021-06-28,"North America",198892,11619,43.26
2021-07-05,"North America",273955,16620,44.25
2021-07-12,"North America",385188,18460,45.32
2021-07-19,"North America",557309,15239,46.8
2021-07-26,"North America",784203,10329,48.71
2021-08-02,"North America",1003170,3340,50.18
2021-03-01,"South America",639098,893,3.15
2021-03-08,"South America",651024,940,3.95
2021-03-15,"South America",744041,1065,4.8
2021-03-22,"South America",807003,1486,6.1
2021-03-29,"South America",760033,1242,7.2
2021-04-05,"South America",909896,2259,8.64
2021-04-12,"South America",902371,1750,10.05
2021-04-19,"South America",862949,1845,11.08
2021-04-26,"South America",834197,1648,12.18
2021-05-03,"South America",824029,1430,13.23
2021-05-10,"South America",865105,1773,14.73
2021-05-17,"South America",961753,2050,15.96
2021-05-24,"South America",950471,1677,18.57
2021-05-31,"South America",987439,1045,20.58
2021-06-07,"South America",967085,1458,23.03
2021-06-14,"South America",980505,1094,25.92
2021-06-21,"South America",945885,1131,28.78
2021-06-28,"South America",758679,1459,31.36
2021-07-05,"South America",663438,887,35.15
2021-07-12,"South America",583684,833,38.84
2021-07-19,"South America",535707,432,41.46
2021-07-26,"South America",446667,151,44.06
2021-08-02,"South America",391387,3,46.68
2021-03-01,"Oceania",407,82,0.25
2021-03-08,"Oceania",704,89,0.47
2021-03-15,"Oceania",1021,78,0.52
2021-03-22,"Oceania",2200,88,0.57
2021-03-29,"Oceania",1950,146,0.65
2021-04-05,"Oceania",1543,93,0.73
2021-04-12,"Oceania",1428,102,0.97
2021-04-19,"Oceania",1104,126,1.09
2021-04-26,"Oceania",743,82,1.21
2021-05-03,"Oceania",559,69,1.37
2021-05-10,"Oceania",2164,35,1.6
2021-05-17,"Oceania",1322,24,1.77
2021-05-24,"Oceania",1200,66,10.33
2021-05-31,"Oceania",860,64,12.34
2021-06-07,"Oceania",884,65,14.34
2021-06-14,"Oceania",1201,68,15.54
2021-06-21,"Oceania",1983,181,16.88
2021-06-28,"Oceania",2866,258,18.02
2021-07-05,"Oceania",5020,380,19.35
2021-07-12,"Oceania",7846,617,20.75
2021-07-19,"Oceania",7034,597,22.44
2021-07-26,"Oceania",8898,743,24.5
2021-08-02,"Oceania",8654,86,26.6
