"Date","Location","Total Sequences","Alpha","Beta","Gamma","Delta","Other Variants of Interest","Other"
2021-03-22,"Africa",538,121,202,1,1,30,183
2021-03-22,"Asia",4722,1686,427,12,188,608,1801
2021-03-22,"Europe",52779,47248,1135,298,6,346,3746
2021-03-22,"North America",35001,15801,220,1494,5,3940,13541
2021-03-22,"Oceania",88,35,5,2,0,1,45
2021-03-22,"South America",1546,80,2,1125,0,97,242
2021-03-29,"Africa",477,116,193,0,4,40,124
2021-03-29,"Asia",7657,2958,517,22,509,629,3022
2021-03-29,"Europe",46266,40894,1148,321,52,364,3487
2021-03-29,"North America",38219,19107,253,2001,26,4424,12408
2021-03-29,"Oceania",145,49,7,0,4,5,80
2021-03-29,"South America",1342,87,1,898,0,147,209
2021-04-05,"Africa",332,71,162,0,1,21,77
2021-04-05,"Asia",6611,2261,286,13,1132,725,2194
2021-04-05,"Europe",41225,36793,838,493,91,349,2661
2021-04-05,"North America",43456,23687,318,2796,73,4824,11758
2021-04-05,"Oceania",94,36,7,2,3,11,35
2021-04-05,"South America",2449,124,4,1507,0,305,509
2021-04-12,"Africa",371,77,155,0,4,27,108
2021-04-12,"Asia",6643,2639,220,7,1346,401,2030
2021-04-12,"Europe",45188,40339,875,472,208,407,2887
2021-04-12,"North America",41534,23400,317,3147,154,4642,9874
2021-04-12,"Oceania",101,48,12,1,25,7,8
2021-04-12,"South America",1857,99,0,1171,0,266,321
2021-04-19,"Africa",396,47,202,0,8,13,126
2021-04-19,"Asia",7667,3978,225,8,1232,182,2042
2021-04-19,"Europe",43274,38198,688,559,495,407,2927
2021-04-19,"North America",36122,21106,246,2923,295,3733,7819
2021-04-19,"Oceania",125,42,5,2,37,15,24
2021-04-19,"South America",1961,79,1,1358,1,204,318
2021-04-26,"Africa",404,55,160,0,15,28,146
2021-04-26,"Asia",10047,5629,261,13,1814,192,2138
2021-04-26,"Europe",42014,36919,685,484,663,425,2838
2021-04-26,"North America",37679,22474,263,3869,435,3388,7250
2021-04-26,"Oceania",85,30,3,0,28,2,22
2021-04-26,"South America",1824,53,0,1261,3,250,257
2021-05-03,"Africa",424,54,228,0,24,9,109
2021-05-03,"Asia",7446,4209,180,9,1317,96,1635
2021-05-03,"Europe",41288,35416,600,502,872,308,3590
2021-05-03,"North America",31860,19308,224,3394,536,2618,5780
