"date","Africa","Asia","Europe","North America","Oceania","South America"
2021-02-08,83,49,20,28,48,103
2021-02-15,81,66,17,27,28,110
2021-02-22,94,64,21,24,19,91
2021-03-01,90,66,21,28,9,80
2021-03-08,83,62,19,29,11,68
2021-03-15,80,54,20,26,6,60
2021-03-22,71,52,20,24,8.5,47
2021-03-29,73,56,19,22,15,43
2021-04-05,63,53,20,23,11,41
2021-04-12,58,46,19,24,7,39
2021-04-19,47,39,17,22,13,37
2021-04-26,44,43,18,21,9,37
2021-05-03,42,36,17,20,14,31
2021-05-10,43,49,16,20,12,29
2021-05-17,44,42,14,21,8,27
2021-05-24,38,36,15,21,8,25
2021-05-31,26,30,13,23,7.5,34
2021-06-07,23.5,25,14,23,11,30
2021-06-14,20,28,12,22,8.5,25
2021-06-21,20,22,10,17,9,21
2021-06-28,22,20,10,17,5,22
2021-07-05,17,14,10,14,9,17
2021-07-12,15,6,9,11,7,12
2021-07-19,,6,7,7,4.5,6.5
