"gisaid_collect_weekstartdate","gisaid_country","owid_continent","all_lineages","owid_people_vaccinated_per_hundred","owid_population","gisaid_lagdays_q1","gisaid_lagdays_median","gisaid_lagdays_q3","sequences_over_new_cases","who_alpha","who_beta","who_gamma","who_delta","who_allvois","who_other","Africa","Asia","Europe","North America","Oceania","South America"
2021-01-04,"","Africa",1282,,1338832662,47,94.5,133,0.00574856958369953,131,704,0,0,45,402,223012,,,,,
2021-01-04,"","Asia",3890,0.06,4614068610,56,83,108,0.00670801840997546,430,20,1,4,8,3427,,579903,,,,
2021-01-04,"","Europe",23112,0.77,750809055,13,18,40,0.0131669875046929,10642,57,3,5,8,12397,,,1755299,,,
2021-01-04,"","North America",16795,1.2,588277210,24,48,106,0.00873128388603738,199,12,1,0,109,16474,,,,1923543,,
2021-01-04,"","Oceania",82,,42376877,7,12,19,0.491017964071856,23,8,0,0,1,50,,,,,167,
2021-01-04,"","South America",609,0,430461090,52,99,165,0.00096764813834985,26,0,95,0,2,486,,,,,,629361
2021-01-11,"","Africa",820,,1338832662,45,67.5,120,0.00394045113360052,102,441,0,1,37,239,208098,,,,,
2021-01-11,"","Asia",3430,0.07,4614068610,50,77,103,0.0059823320630325,399,36,0,3,2,2990,,573355,,,,
2021-01-11,"","Europe",29432,1.44,750809055,14,19,35,0.0189030064849027,14719,181,3,0,16,14513,,,1557001,,,
2021-01-11,"","North America",17842,1.97,588277210,32,54,130,0.0102427206760356,289,17,5,0,138,17393,,,,1741920,,
2021-01-11,"","Oceania",66,,42376877,8,11,22,0.383720930232558,21,11,0,0,1,33,,,,,172,
2021-01-11,"","South America",588,0,430461090,50,103,158,0.000860267912006882,20,0,85,0,16,467,,,,,,683508
2021-01-18,"","Africa",679,0,1338832662,57,69,130,0.00386465181137767,33,406,0,0,16,224,175695,,,,,
2021-01-18,"","Asia",3276,0.12,4614068610,47,70,100,0.00638448391113952,535,16,0,0,8,2717,,513119,,,,
2021-01-18,"","Europe",29841,2.21,750809055,14,20,43,0.0209512562609439,15693,180,12,0,33,13923,,,1424306,,,
2021-01-18,"","North America",17409,3.36,588277210,30,43,119,0.0124496817318137,420,15,3,0,161,16810,,,,1398349,,
2021-01-18,"","Oceania",54,,42376877,10.25,18,26,0.642857142857143,27,3,0,0,0,24,,,,,84,
2021-01-18,"","South America",548,0.21,430461090,45,82,150,0.000865150233022216,15,0,141,0,15,377,,,,,,633416
2021-01-25,"","Africa",547,0,1338832662,52,86,129,0.00421625454769686,49,274,0,3,42,179,129736,,,,,
2021-01-25,"","Asia",3688,0.19,4614068610,58,65,90,0.00714205485129111,1045,57,1,4,17,2564,,516378,,,,
2021-01-25,"","Europe",38293,2.94,750809055,13,20,36,0.0300094825356771,23618,302,29,0,60,14284,,,1276030,,,
2021-01-25,"","North America",17564,4.52,588277210,22,32,90,0.0143910356727916,668,28,3,0,382,16483,,,,1220482,,
