"Country","Region","WHO testing Capacity","Max 30-day average of new tests per capita","Sequencing capacity","Cumulative GISAID sequences","New cases per capita in the last 7 days per 100k","Archetype"
"Algeria","Africa","1 - Reliable",4.46,"0 - 0 NGS facilities or equivalent",55,4.12,"2 - Connect"
"Angola","Africa","1 - Reliable",16.29,"0 - 0 NGS facilities or equivalent",899,6.26,"3 - Leverage"
"Benin","Africa","0 - Unreliable",28.81,"0 - 0 NGS facilities or equivalent",80,19.33,"1 - Test"
"Botswana","Africa","1 - Reliable",260.37,"1 - 1-3 NGS facilities or equivalent",1024,147.05,"4 - Strengthen"
"Burkina Faso","Africa","1 - Reliable",5.49,"1 - 1-3 NGS facilities or equivalent",424,0.48,"3 - Leverage"
"Burundi","Africa","1 - Reliable",48.51,"0 - 0 NGS facilities or equivalent",9,16.39,"2 - Connect"
"Cameroon","Africa","1 - Reliable",41.15,"1 - 1-3 NGS facilities or equivalent",217,4.54,"3 - Leverage"
"Cape Verde","Africa","0 - Unreliable",255.71,"0 - 0 NGS facilities or equivalent",40,110.43,"2 - Connect"
"Central African Republic","Africa","1 - Reliable",10.12,"0 - 0 NGS facilities or equivalent",118,0,"2 - Connect"
"Chad","Africa","1 - Reliable",3.4,"0 - 0 NGS facilities or equivalent",9,0.06,"2 - Connect"
"Comoros","Africa","0 - Unreliable",8.86,"0 - 0 NGS facilities or equivalent",6,0.8,"1 - Test"
"Democratic Republic of the Congo","Africa","1 - Reliable",2.5,"1 - 1-3 NGS facilities or equivalent",870,0.3,"4 - Strengthen"
"Equatorial Guinea","Africa","0 - Unreliable",60.29,"0 - 0 NGS facilities or equivalent",191,60.8,"2 - Connect"
"Eritrea","Africa","0 - Unreliable",7.13,"0 - 0 NGS facilities or equivalent",0,0.34,"1 - Test"
"Eswatini","Africa","1 - Reliable",148.87,"0 - 0 NGS facilities or equivalent",33,58.44,"2 - Connect"
"Ethiopia","Africa","1 - Reliable",16.85,"0 - 0 NGS facilities or equivalent",34,6.93,"2 - Connect"
"Gabon","Africa","1 - Reliable",159.42,"1 - 1-3 NGS facilities or equivalent",292,40.98,"3 - Leverage"
"Ghana","Africa","1 - Reliable",18.98,"1 - 1-3 NGS facilities or equivalent",1351,4.28,"4 - Strengthen"
"Guinea","Africa","0 - Unreliable",32.21,"0 - 0 NGS facilities or equivalent",262,1.27,"1 - Test"
"Guinea-Bissau","Africa","0 - Unreliable",18.02,"0 - 0 NGS facilities or equivalent",48,5.03,"1 - Test"
"Ivory Coast","Africa","1 - Reliable",15.09,"0 - 0 NGS facilities or equivalent",236,3.97,"2 - Connect"
"Kenya","Africa","1 - Reliable",14.77,"1 - 1-3 NGS facilities or equivalent",3375,5.66,"4 - Strengthen"
"Lesotho","Africa","1 - Reliable",83.83,"0 - 0 NGS facilities or equivalent",18,0,"2 - Connect"
"Liberia","Africa","1 - Reliable",21.09,"0 - 0 NGS facilities or equivalent",77,0,"2 - Connect"
"Madagascar","Africa","1 - Reliable",4.55,"1 - 1-3 NGS facilities or equivalent",122,0,"3 - Leverage"
"Malawi","Africa","1 - Reliable",13.13,"0 - 0 NGS facilities or equivalent",511,1.27,"3 - Leverage"
"Mali","Africa","1 - Reliable",7.03,"1 - 1-3 NGS facilities or equivalent",71,0.2,"3 - Leverage"
"Mauritania","Africa","1 - Reliable",53.81,"0 - 0 NGS facilities or equivalent",0,13.72,"2 - Connect"
"Mauritius","Africa","1 - Reliable",391.38,"0 - 0 NGS facilities or equivalent",271,101.43,"0 - High Income*"
"Mozambique","Africa","1 - Reliable",15.68,"0 - 0 NGS facilities or equivalent",580,3.58,"3 - Leverage"
"Namibia","Africa","0 - Unreliable",141.67,"0 - 0 NGS facilities or equivalent",263,23.65,"2 - Connect"
"Niger","Africa","1 - Reliable",2.52,"0 - 0 NGS facilities or equivalent",24,0.14,"2 - Connect"
"Nigeria","Africa","1 - Reliable",5.75,"2 - 4+ NGS facilities or equivalent",1892,1.61,"4 - Strengthen"
"Republic of the Congo","Africa","1 - Reliable",17.51,"0 - 0 NGS facilities or equivalent",234,0,"2 - Connect"
"Rwanda","Africa","1 - Reliable",118.94,"0 - 0 NGS facilities or equivalent",485,22.96,"2 - Connect"
"São Tomé and Príncipe","Africa","0 - Unreliable",103.17,"0 - 0 NGS facilities or equivalent",0,83.96,"2 - Connect"
"Senegal","Africa","1 - Reliable",19.31,"1 - 1-3 NGS facilities or equivalent",545,1.37,"4 - Strengthen"
"Seychelles","Africa","1 - Reliable",338.74,"0 - 0 NGS facilities or equivalent",0,0,"0 - High Income*"
"Sierra Leone","Africa","0 - Unreliable",10.27,"1 - 1-3 NGS facilities or equivalent",36,0.15,"1 - Test"
"South Africa","Africa","1 - Reliable",101.95,"2 - 4+ NGS facilities or equivalent",18472,54.68,"4 - Strengthen"
"South Sudan","Africa","1 - Reliable",14.4,"0 - 0 NGS facilities or equivalent",89,1.75,"2 - Connect"
"Tanzania","Africa","1 - Reliable",0.77,"0 - 0 NGS facilities or equivalent",0,0,"2 - Connect"
"The Gambia","Africa","1 - Reliable",28.47,"1 - 1-3 NGS facilities or equivalent",687,3.23,"4 - Strengthen"
"Togo","Africa","0 - Unreliable",23.7,"0 - 0 NGS facilities or equivalent",347,12.99,"1 - Test"
"Uganda","Africa","1 - Reliable",15.87,"1 - 1-3 NGS facilities or equivalent",631,0,"4 - Strengthen"
"Zambia","Africa","1 - Reliable",55.74,"1 - 1-3 NGS facilities or equivalent",692,3.91,"4 - Strengthen"
"Zimbabwe","Africa","1 - Reliable",77.95,"0 - 0 NGS facilities or equivalent",659,7.75,"3 - Leverage"
