"Country","Region","WHO Testing Capacity","Max 30-day average of new tests per capita","Sequencing capacity","Cumulative GISAID sequences","New cases per capita in the last 7 days per 100k","Archetype"
"Antigua and Barbuda","Americas","0 - Unreliable",131.09,"0 - 0 NGS facilities or equivalent",18,2.04,"0 - High Income*"
"Argentina","Americas","1 - Reliable",224.27,"2 - 4+ NGS facilities or equivalent",5186,280.2,"4 - Strengthen"
"Aruba","Americas","1 - Reliable",NaN,"0 - 0 NGS facilities or equivalent",1279,8.43,"0 - High Income*"
"Barbados","Americas","0 - Unreliable",388.06,"0 - 0 NGS facilities or equivalent",39,9.4,"0 - High Income*"
"Belize","Americas","0 - Unreliable",241.63,"0 - 0 NGS facilities or equivalent",52,45.77,"2 - Connect"
"Bermuda","Americas","1 - Reliable",3567.58,"0 - 0 NGS facilities or equivalent",40,11.24,"0 - High Income*"
"Bolivia","Americas","1 - Reliable",103.68,"0 - 0 NGS facilities or equivalent",66,90.72,"2 - Connect"
"Brazil","Americas","1 - Reliable",160.1,"2 - 4+ NGS facilities or equivalent",28031,160.76,"4 - Strengthen"
"British Virgin Islands","Americas","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",11,1587.46,"0 - High Income*"
"Canada","Americas","1 - Reliable",696.06,"2 - 4+ NGS facilities or equivalent",92125,8.86,"0 - High Income*"
"Cayman Islands","Americas","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",19,1.52,"0 - High Income*"
"Chile","Americas","1 - Reliable",397.29,"2 - 4+ NGS facilities or equivalent",6200,106.89,"0 - High Income*"
"Colombia","Americas","1 - Reliable",279.34,"2 - 4+ NGS facilities or equivalent",2196,372.44,"4 - Strengthen"
"Costa Rica","Americas","1 - Reliable",180.2,"1 - 1-3 NGS facilities or equivalent",884,189.45,"4 - Strengthen"
"Cuba","Americas","0 - Unreliable",373.81,"0 - 0 NGS facilities or equivalent",653,208.22,"3 - Leverage"
"Curaçao","Americas","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",549,6.7,"0 - High Income*"
"Dominica","Americas","1 - Reliable",119.31,"0 - 0 NGS facilities or equivalent",9,5.56,"2 - Connect"
"Dominican Republic","Americas","0 - Unreliable",59.85,"1 - 1-3 NGS facilities or equivalent",278,52.73,"3 - Leverage"
"Ecuador","Americas","1 - Reliable",29.29,"1 - 1-3 NGS facilities or equivalent",1803,36.98,"4 - Strengthen"
"El Salvador","Americas","0 - Unreliable",337.26,"1 - 1-3 NGS facilities or equivalent",104,22.65,"3 - Leverage"
"Greenland","Americas","1 - Reliable",254.27,"0 - 0 NGS facilities or equivalent",0,1.76,"0 - High Income*"
"Grenada","Americas","0 - Unreliable",88.97,"0 - 0 NGS facilities or equivalent",8,0,"2 - Connect"
"Guatemala","Americas","0 - Unreliable",54.26,"1 - 1-3 NGS facilities or equivalent",417,82,"3 - Leverage"
"Guyana","Americas","1 - Reliable",145.73,"0 - 0 NGS facilities or equivalent",3,77.43,"2 - Connect"
"Guyana","Americas","1 - Reliable",145.73,"0 - 0 NGS facilities or equivalent",11,77.43,"2 - Connect"
"Haiti","Americas","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",79,3.81,"1 - Test"
"Honduras","Americas","0 - Unreliable",33.38,"0 - 0 NGS facilities or equivalent",66,80.28,"1 - Test"
"Jamaica","Americas","1 - Reliable",82.9,"0 - 0 NGS facilities or equivalent",167,11.21,"2 - Connect"
"Mexico","Americas","1 - Reliable",28.15,"2 - 4+ NGS facilities or equivalent",20538,28.46,"4 - Strengthen"
"Nicaragua","Americas","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",0,3.25,"1 - Test"
"Panama","Americas","1 - Reliable",302.19,"2 - 4+ NGS facilities or equivalent",896,172.04,"0 - High Income*"
"Paraguay","Americas","1 - Reliable",111.74,"0 - 0 NGS facilities or equivalent",165,137.09,"2 - Connect"
"Peru","Americas","1 - Reliable",187.53,"2 - 4+ NGS facilities or equivalent",2265,51.52,"4 - Strengthen"
"Puerto Rico","Americas","1 - Reliable",NaN,"1 - 1-3 NGS facilities or equivalent",0,13.49,"0 - High Income*"
"Saint Kitts and Nevis","Americas","0 - Unreliable",325.91,"0 - 0 NGS facilities or equivalent",13,139.12,"0 - High Income*"
"Saint Lucia","Americas","0 - Unreliable",143.13,"0 - 0 NGS facilities or equivalent",33,38.67,"2 - Connect"
"Saint Martin","Americas","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",10,NaN,"0 - High Income*"
"Saint Vincent and the Grenadines","Americas","0 - Unreliable",224.98,"0 - 0 NGS facilities or equivalent",13,13.52,"2 - Connect"
"Sint Maarten (Dutch part)","Americas","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",490,37.31,"0 - High Income*"
"Suriname","Americas","1 - Reliable",NaN,"0 - 0 NGS facilities or equivalent",346,181.03,"2 - Connect"
"The Bahamas","Americas","1 - Reliable",126.96,"0 - 0 NGS facilities or equivalent",61,67.64,"0 - High Income*"
"Trinidad and Tobago","Americas","1 - Reliable",140.75,"0 - 0 NGS facilities or equivalent",485,91.25,"0 - High Income*"
"Turks and Caicos Islands","Americas","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",10,0,"0 - High Income*"
"U.S. Virgin Islands","Americas","1 - Reliable",NaN,"0 - 0 NGS facilities or equivalent",0,80.44,"0 - High Income*"
"United States of America","Americas","1 - Reliable",598.08,"2 - 4+ NGS facilities or equivalent",725694,29.12,"0 - High Income*"
"Uruguay","Americas","0 - Unreliable",546.23,"2 - 4+ NGS facilities or equivalent",736,168.15,"0 - High Income*"
"Venezuela","Americas","1 - Reliable",61.32,"1 - 1-3 NGS facilities or equivalent",163,28.6,"3 - Leverage"
