"Country","Region","WHO testing Capacity","Max 30-day average of new tests per capita","Sequencing capacity","Cumulative GISAID sequences","New cases per capita in the last 7 days per 100k","Archetype"
"Afghanistan","Eastern Mediterranean","1 - Reliable",10.65,"0 - 0 NGS facilities or equivalent",16,1.34,"2 - Connect"
"Bahrain","Eastern Mediterranean","1 - Reliable",1044.51,"2 - 4+ NGS facilities or equivalent",874,32.32,"0 - High Income*"
"Djibouti","Eastern Mediterranean","1 - Reliable",85.26,"0 - 0 NGS facilities or equivalent",306,9.11,"2 - Connect"
"Egypt","Eastern Mediterranean","1 - Reliable",13.94,"1 - 1-3 NGS facilities or equivalent",1018,2.72,"4 - Strengthen"
"Iran","Eastern Mediterranean","1 - Reliable",158.11,"2 - 4+ NGS facilities or equivalent",600,177.88,"4 - Strengthen"
"Iraq","Eastern Mediterranean","1 - Reliable",808.92,"1 - 1-3 NGS facilities or equivalent",247,71.92,"3 - Leverage"
"Jordan","Eastern Mediterranean","1 - Reliable",420.65,"2 - 4+ NGS facilities or equivalent",727,50.15,"4 - Strengthen"
"Kuwait","Eastern Mediterranean","1 - Reliable",1014.75,"1 - 1-3 NGS facilities or equivalent",267,7.94,"0 - High Income*"
"Lebanon","Eastern Mediterranean","1 - Reliable",283.49,"2 - 4+ NGS facilities or equivalent",1020,65.8,"4 - Strengthen"
"Libya","Eastern Mediterranean","1 - Reliable",118.1,"0 - 0 NGS facilities or equivalent",22,119.85,"2 - Connect"
"Morocco","Eastern Mediterranean","1 - Reliable",101.76,"2 - 4+ NGS facilities or equivalent",365,40.33,"3 - Leverage"
"Oman","Eastern Mediterranean","1 - Reliable",77.59,"2 - 4+ NGS facilities or equivalent",821,7.85,"0 - High Income*"
"Pakistan","Eastern Mediterranean","1 - Reliable",26.08,"2 - 4+ NGS facilities or equivalent",1052,10.26,"4 - Strengthen"
"Palestine","Eastern Mediterranean","0 - Unreliable",242.23,"0 - 0 NGS facilities or equivalent",132,261.34,"2 - Connect"
"Qatar","Eastern Mediterranean","1 - Reliable",226.34,"2 - 4+ NGS facilities or equivalent",2966,33.56,"0 - High Income*"
"Saudi Arabia","Eastern Mediterranean","1 - Reliable",291.72,"2 - 4+ NGS facilities or equivalent",1096,1.8,"0 - High Income*"
"Somalia","Eastern Mediterranean","0 - Unreliable",7.47,"0 - 0 NGS facilities or equivalent",37,3.91,"1 - Test"
"Sudan","Eastern Mediterranean","0 - Unreliable",5.39,"0 - 0 NGS facilities or equivalent",0,0.15,"1 - Test"
"Syria","Eastern Mediterranean","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",0,5.66,"1 - Test"
"Tunisia","Eastern Mediterranean","1 - Reliable",145.21,"1 - 1-3 NGS facilities or equivalent",132,137.11,"3 - Leverage"
"United Arab Emirates","Eastern Mediterranean","1 - Reliable",3124.95,"2 - 4+ NGS facilities or equivalent",1877,47.7,"0 - High Income*"
"West Bank and Gaza","Eastern Mediterranean","0 - Unreliable",242.23,"0 - 0 NGS facilities or equivalent",132,261.34,"2 - Connect"
"Yemen","Eastern Mediterranean","1 - Reliable",NaN,"0 - 0 NGS facilities or equivalent",0,1.16,"2 - Connect"
