"Country","Region","WHO testing Capacity","Max 30-day average of new tests per capita","Sequencing capacity","Cumulative GISAID sequences","New cases per capita in the last 7 days per 100k","Archetype"
"Albania","Europe","1 - Reliable",190.16,"0 - 0 NGS facilities or equivalent",42,212.14,"2 - Connect"
"Andorra","Europe","1 - Reliable",11029.48,"0 - 0 NGS facilities or equivalent",22,49.18,"0 - High Income*"
"Armenia","Europe","1 - Reliable",220.23,"0 - 0 NGS facilities or equivalent",143,145.99,"2 - Connect"
"Austria","Europe","1 - Reliable",5074.8,"2 - 4+ NGS facilities or equivalent",54482,162.47,"0 - High Income*"
"Azerbaijan","Europe","0 - Unreliable",161.18,"1 - 1-3 NGS facilities or equivalent",14,149.01,"3 - Leverage"
"Belarus","Europe","1 - Reliable",282.57,"1 - 1-3 NGS facilities or equivalent",51,136.9,"3 - Leverage"
"Belgium","Europe","1 - Reliable",1311.73,"2 - 4+ NGS facilities or equivalent",45508,92.43,"0 - High Income*"
"Bosnia and Herzegovina","Europe","1 - Reliable",102.26,"1 - 1-3 NGS facilities or equivalent",183,150.79,"3 - Leverage"
"Bulgaria","Europe","1 - Reliable",301.97,"2 - 4+ NGS facilities or equivalent",4178,150.9,"4 - Strengthen"
"Croatia","Europe","1 - Reliable",237.5,"1 - 1-3 NGS facilities or equivalent",7007,181.26,"0 - High Income*"
"Cyprus","Europe","1 - Reliable",5361.32,"1 - 1-3 NGS facilities or equivalent",168,120.16,"0 - High Income*"
"Czech Republic","Europe","1 - Reliable",2964.16,"1 - 1-3 NGS facilities or equivalent",7847,26.38,"0 - High Income*"
"Czech Republic","Europe","1 - Reliable",2964.16,"1 - 1-3 NGS facilities or equivalent",3,26.38,"0 - High Income*"
"Denmark","Europe","1 - Reliable",9787.53,"2 - 4+ NGS facilities or equivalent",164315,51.97,"0 - High Income*"
"Estonia","Europe","1 - Reliable",606.94,"1 - 1-3 NGS facilities or equivalent",5333,229.2,"0 - High Income*"
"Faroe Islands","Europe","1 - Reliable",3988.98,"0 - 0 NGS facilities or equivalent",42,38.88,"0 - High Income*"
"Finland","Europe","1 - Reliable",419.13,"2 - 4+ NGS facilities or equivalent",16759,56.87,"0 - High Income*"
"France","Europe","1 - Reliable",1057.42,"2 - 4+ NGS facilities or equivalent",89528,83.53,"0 - High Income*"
"Georgia","Europe","1 - Reliable",298.64,"1 - 1-3 NGS facilities or equivalent",220,420.61,"3 - Leverage"
"Germany","Europe","1 - Reliable",255.85,"2 - 4+ NGS facilities or equivalent",177418,82.66,"0 - High Income*"
"Gibraltar","Europe","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",1842,154.34,"0 - High Income*"
"Greece","Europe","1 - Reliable",911.8,"2 - 4+ NGS facilities or equivalent",9233,143.72,"0 - High Income*"
"Hungary","Europe","1 - Reliable",362.19,"2 - 4+ NGS facilities or equivalent",435,23.25,"0 - High Income*"
"Iceland","Europe","1 - Reliable",601.52,"1 - 1-3 NGS facilities or equivalent",9678,45.31,"0 - High Income*"
"Ireland","Europe","1 - Reliable",461.57,"2 - 4+ NGS facilities or equivalent",30566,180.42,"0 - High Income*"
"Isle of Man","Europe","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",0,178.76,"0 - High Income*"
"Israel","Europe","1 - Reliable",915.81,"2 - 4+ NGS facilities or equivalent",16080,651.04,"0 - High Income*"
"Italy","Europe","1 - Reliable",525.75,"2 - 4+ NGS facilities or equivalent",59408,54.69,"0 - High Income*"
"Kazakhstan","Europe","1 - Reliable",277.26,"1 - 1-3 NGS facilities or equivalent",359,113.27,"3 - Leverage"
"Kosovo","Europe","0 - Unreliable",508.64,"0 - 0 NGS facilities or equivalent",81,190.51,"2 - Connect"
"Kyrgyzstan","Europe","0 - Unreliable",343.93,"0 - 0 NGS facilities or equivalent",0,9.21,"2 - Connect"
"Latvia","Europe","1 - Reliable",907.58,"1 - 1-3 NGS facilities or equivalent",5509,167.17,"0 - High Income*"
"Liechtenstein","Europe","1 - Reliable",NaN,"0 - 0 NGS facilities or equivalent",109,54.2,"0 - High Income*"
"Lithuania","Europe","1 - Reliable",742.86,"1 - 1-3 NGS facilities or equivalent",17753,246.09,"0 - High Income*"
"Luxembourg","Europe","1 - Reliable",1694.61,"2 - 4+ NGS facilities or equivalent",12752,86.41,"0 - High Income*"
"Malta","Europe","1 - Reliable",866.54,"0 - 0 NGS facilities or equivalent",299,52.28,"0 - High Income*"
"Moldova","Europe","0 - Unreliable",479.35,"0 - 0 NGS facilities or equivalent",67,137.06,"2 - Connect"
"Monaco","Europe","1 - Reliable",NaN,"0 - 0 NGS facilities or equivalent",70,63.7,"0 - High Income*"
"Montenegro","Europe","0 - Unreliable",288.77,"0 - 0 NGS facilities or equivalent",175,658.37,"2 - Connect"
"Netherlands","Europe","1 - Reliable",474.07,"2 - 4+ NGS facilities or equivalent",61045,89.29,"0 - High Income*"
"New Caledonia","Europe","0 - Unreliable",67.7,"0 - 0 NGS facilities or equivalent",0,418.92,"0 - High Income*"
"North Macedonia","Europe","1 - Reliable",280.8,"1 - 1-3 NGS facilities or equivalent",699,157.1,"4 - Strengthen"
"Norway","Europe","1 - Reliable",481.11,"2 - 4+ NGS facilities or equivalent",23982,120.56,"0 - High Income*"
"Poland","Europe","0 - Unreliable",219.79,"2 - 4+ NGS facilities or equivalent",19422,10.1,"0 - High Income*"
"Portugal","Europe","1 - Reliable",633.68,"2 - 4+ NGS facilities or equivalent",16410,74.09,"0 - High Income*"
