"Country","Region","WHO testing Capacity","Max 30-day average of new tests per capita","Sequencing capacity","Cumulative GISAID sequences","New cases per capita in the last 7 days per 100k","Archetype"
"Abyei","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"1 - Test"
"Abyei Disputed Boundary","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"1 - Test"
"Abyei Disputed Boundary","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"1 - Test"
"Abyei Disputed Boundary","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"1 - Test"
"Afghanistan","Eastern Mediterranean","1 - Reliable",10.65,"0 - 0 NGS facilities or equivalent",16,1.34,"2 - Connect"
"Aksai Chin","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"1 - Test"
"Aksai Chin Disputed Boundary","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"1 - Test"
"Aksai Chin Disputed Boundary","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"1 - Test"
"Albania","Europe","1 - Reliable",190.16,"0 - 0 NGS facilities or equivalent",42,212.14,"2 - Connect"
"Algeria","Africa","1 - Reliable",4.46,"0 - 0 NGS facilities or equivalent",55,4.12,"2 - Connect"
"American Samoa","Western Pacific","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",0,0,"1 - Test"
"Andorra","Europe","1 - Reliable",11029.48,"0 - 0 NGS facilities or equivalent",22,49.18,"0 - High Income*"
"Angola","Africa","1 - Reliable",16.29,"0 - 0 NGS facilities or equivalent",899,6.26,"3 - Leverage"
"Anguilla","",NaN,NaN,"0 - 0 NGS facilities or equivalent",11,133.32,"1 - Test"
"Antigua and Barbuda","Americas","0 - Unreliable",131.09,"0 - 0 NGS facilities or equivalent",62,336.98,"0 - High Income*"
"Argentina","Americas","1 - Reliable",260.95,"2 - 4+ NGS facilities or equivalent",7081,39.93,"4 - Strengthen"
"Armenia","Europe","1 - Reliable",220.23,"0 - 0 NGS facilities or equivalent",143,145.99,"2 - Connect"
