"Country","Region","WHO testing Capacity","Max 30-day average of new tests per capita","Sequencing capacity","Cumulative GISAID sequences","New cases per capita in the last 7 days per 100k","Archetype"
"American Samoa","Western Pacific","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",0,0,"1 - Test"
"Australia","Western Pacific","1 - Reliable",862.34,"2 - 4+ NGS facilities or equivalent",29096,48.05,"0 - High Income*"
"Brunei","Western Pacific","1 - Reliable",831.91,"1 - 1-3 NGS facilities or equivalent",38,201.84,"0 - High Income*"
"Cambodia","Western Pacific","1 - Reliable",3381.69,"1 - 1-3 NGS facilities or equivalent",994,26.96,"4 - Strengthen"
"China","Western Pacific","1 - Reliable",49.85,"2 - 4+ NGS facilities or equivalent",1335,0.03,"0 - High Income*"
"Fiji","Western Pacific","1 - Reliable",349,"0 - 0 NGS facilities or equivalent",0,111.22,"2 - Connect"
"French Polynesia","Western Pacific","0 - Unreliable",33.29,"0 - 0 NGS facilities or equivalent",11,0,"0 - High Income*"
"Guam","Western Pacific","1 - Reliable",NaN,"0 - 0 NGS facilities or equivalent",196,372.69,"0 - High Income*"
"Hong Kong SAR, China","Western Pacific","1 - Reliable",1183.81,"2 - 4+ NGS facilities or equivalent",4736,NaN,"0 - High Income*"
"Japan","Western Pacific","1 - Reliable",94.66,"2 - 4+ NGS facilities or equivalent",97598,42.61,"0 - High Income*"
"Kiribati","Western Pacific","1 - Reliable",NaN,"0 - 0 NGS facilities or equivalent",0,0,"2 - Connect"
"Laos","Western Pacific","1 - Reliable",37.1,"0 - 0 NGS facilities or equivalent",18,18.27,"2 - Connect"
"Macao SAR, China","Western Pacific","1 - Reliable",NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"0 - High Income*"
"Malaysia","Western Pacific","1 - Reliable",284.15,"1 - 1-3 NGS facilities or equivalent",2456,403.1,"4 - Strengthen"
"Marshall Islands","Western Pacific","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",0,0,"1 - Test"
"Micronesia","Western Pacific","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",0,0,"1 - Test"
"Mongolia","Western Pacific","1 - Reliable",NaN,"0 - 0 NGS facilities or equivalent",27,760,"2 - Connect"
"Nauru","Western Pacific","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",0,0,"0 - High Income*"
"New Zealand","Western Pacific","1 - Reliable",426.86,"2 - 4+ NGS facilities or equivalent",2332,3.15,"0 - High Income*"
"Northern Mariana Islands","Western Pacific","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",152,15.64,"0 - High Income*"
"Palau","Western Pacific","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",0,16.58,"0 - High Income*"
"Papua New Guinea","Western Pacific","0 - Unreliable",11.91,"0 - 0 NGS facilities or equivalent",563,2.27,"1 - Test"
"Philippines","Western Pacific","1 - Reliable",68.69,"1 - 1-3 NGS facilities or equivalent",5329,131.35,"4 - Strengthen"
"Samoa","Western Pacific","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",0,0,"1 - Test"
"Singapore","Western Pacific","1 - Reliable",1278.43,"2 - 4+ NGS facilities or equivalent",7142,74.46,"0 - High Income*"
"Solomon Islands","Western Pacific","1 - Reliable",NaN,"0 - 0 NGS facilities or equivalent",0,0,"2 - Connect"
"South Korea","Western Pacific","1 - Reliable",95.55,"2 - 4+ NGS facilities or equivalent",13508,24.3,"0 - High Income*"
"Taiwan","Western Pacific","1 - Reliable",215.97,"2 - 4+ NGS facilities or equivalent",244,NaN,"0 - High Income*"
"Tonga","Western Pacific","1 - Reliable",NaN,"0 - 0 NGS facilities or equivalent",0,0,"2 - Connect"
"Tuvalu","Western Pacific","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",0,0,"1 - Test"
"Vanuatu","Western Pacific","1 - Reliable",NaN,"0 - 0 NGS facilities or equivalent",0,0,"2 - Connect"
"Vietnam","Western Pacific","1 - Reliable",13.21,"1 - 1-3 NGS facilities or equivalent",361,84.21,"3 - Leverage"
