"owid_continent","gisaid_collect_weekstartdate","All Lineages","Alpha","Beta","Gamma","Delta","All VOIs","Other","Total Cases","Sequencing as % of new cases","Submission Lag","New Weekly Cases"
"",2021-01-04,91687,22897,1612,200,18,346,66614,10214166,NA,NA,0
"",2021-01-04,91687,22897,1612,200,18,346,66614,10214166,NA,36.5,0
"",2021-01-04,91687,22897,1612,200,18,346,66614,10214166,NA,NA,0
"",2021-01-04,91687,22897,1612,200,18,346,66614,10214166,NA,NA,0
"",2021-01-04,91687,22897,1612,200,18,346,66614,10214166,NA,20,0
"",2021-01-04,91687,22897,1612,200,18,346,66614,10214166,NA,NA,0
"",2021-01-04,91687,22897,1612,200,18,346,66614,10214166,NA,NA,0
"",2021-01-04,91687,22897,1612,200,18,346,66614,10214166,NA,NA,0
"",2021-01-04,91687,22897,1612,200,18,346,66614,10214166,NA,20,0
"",2021-01-04,91687,22897,1612,200,18,346,66614,10214166,NA,NA,0
"",2021-01-04,91687,22897,1612,200,18,346,66614,10214166,NA,78,0
"",2021-01-04,91687,22897,1612,200,18,346,66614,10214166,NA,NA,0
"",2021-01-04,91687,22897,1612,200,18,346,66614,10214166,NA,NA,0
"",2021-01-04,91687,22897,1612,200,18,346,66614,10214166,NA,NA,0
"",2021-01-04,91687,22897,1612,200,18,346,66614,10214166,NA,NA,0
"",2021-01-04,91687,22897,1612,200,18,346,66614,10214166,NA,NA,0
"",2021-01-04,91687,22897,1612,200,18,346,66614,10214166,0.654042337513884,97,185462
"",2021-01-04,91687,22897,1612,200,18,346,66614,10214166,0.681263376922908,49,2552904
"",2021-01-04,91687,22897,1612,200,18,346,66614,10214166,0.0823132998158314,23,168867
"",2021-01-04,91687,22897,1612,200,18,346,66614,10214166,1.24235107956133,19,1911054
"",2021-01-04,91687,22897,1612,200,18,346,66614,10214166,0.220653133274492,108,208472
"",2021-01-04,91687,22897,1612,200,18,346,66614,10214166,3.65334594466777,82,76122
"",2021-01-04,91687,22897,1612,200,18,346,66614,10214166,0.897328166987362,35,5111285
"",2021-01-11,104793,31104,1536,185,8,420,71540,9521011,NA,NA,0
"",2021-01-11,104793,31104,1536,185,8,420,71540,9521011,NA,32,0
"",2021-01-11,104793,31104,1536,185,8,420,71540,9521011,NA,NA,0
"",2021-01-11,104793,31104,1536,185,8,420,71540,9521011,NA,NA,0
"",2021-01-11,104793,31104,1536,185,8,420,71540,9521011,NA,27,0
"",2021-01-11,104793,31104,1536,185,8,420,71540,9521011,NA,NA,0
"",2021-01-11,104793,31104,1536,185,8,420,71540,9521011,NA,NA,0
"",2021-01-11,104793,31104,1536,185,8,420,71540,9521011,NA,NA,0
"",2021-01-11,104793,31104,1536,185,8,420,71540,9521011,NA,34,0
"",2021-01-11,104793,31104,1536,185,8,420,71540,9521011,NA,NA,0
"",2021-01-11,104793,31104,1536,185,8,420,71540,9521011,NA,91.5,0
"",2021-01-11,104793,31104,1536,185,8,420,71540,9521011,NA,NA,0
"",2021-01-11,104793,31104,1536,185,8,420,71540,9521011,NA,NA,0
"",2021-01-11,104793,31104,1536,185,8,420,71540,9521011,NA,NA,0
"",2021-01-11,104793,31104,1536,185,8,420,71540,9521011,NA,NA,0
"",2021-01-11,104793,31104,1536,185,8,420,71540,9521011,NA,NA,0
"",2021-01-11,104793,31104,1536,185,8,420,71540,9521011,0.486324715271427,68,168406
"",2021-01-11,104793,31104,1536,185,8,420,71540,9521011,0.759123750529803,55,2425428
"",2021-01-11,104793,31104,1536,185,8,420,71540,9521011,0.0127909951394218,103,179814
"",2021-01-11,104793,31104,1536,185,8,420,71540,9521011,1.77518696719651,19,1697624
"",2021-01-11,104793,31104,1536,185,8,420,71540,9521011,0.222102108004521,89,203510
"",2021-01-11,104793,31104,1536,185,8,420,71540,9521011,2.80012169151202,77,82175
"",2021-01-11,104793,31104,1536,185,8,420,71540,9521011,1.10019743688883,32,4764054
"",2021-01-18,104101,33457,1360,312,0,466,68506,8284475,NA,NA,0
"",2021-01-18,104101,33457,1360,312,0,466,68506,8284475,NA,23.5,0
"",2021-01-18,104101,33457,1360,312,0,466,68506,8284475,NA,NA,0
"",2021-01-18,104101,33457,1360,312,0,466,68506,8284475,NA,NA,0
"",2021-01-18,104101,33457,1360,312,0,466,68506,8284475,NA,20,0
"",2021-01-18,104101,33457,1360,312,0,466,68506,8284475,NA,NA,0
"",2021-01-18,104101,33457,1360,312,0,466,68506,8284475,NA,NA,0
"",2021-01-18,104101,33457,1360,312,0,466,68506,8284475,NA,NA,0
"",2021-01-18,104101,33457,1360,312,0,466,68506,8284475,NA,43,0
"",2021-01-18,104101,33457,1360,312,0,466,68506,8284475,NA,NA,0
"",2021-01-18,104101,33457,1360,312,0,466,68506,8284475,NA,87,0
"",2021-01-18,104101,33457,1360,312,0,466,68506,8284475,NA,NA,0
"",2021-01-18,104101,33457,1360,312,0,466,68506,8284475,NA,NA,0
"",2021-01-18,104101,33457,1360,312,0,466,68506,8284475,NA,NA,0
"",2021-01-18,104101,33457,1360,312,0,466,68506,8284475,NA,29,0
"",2021-01-18,104101,33457,1360,312,0,466,68506,8284475,NA,NA,0
"",2021-01-18,104101,33457,1360,312,0,466,68506,8284475,0.475749499862153,69,141461
"",2021-01-18,104101,33457,1360,312,0,466,68506,8284475,0.882434730394509,46,2031765
"",2021-01-18,104101,33457,1360,312,0,466,68506,8284475,0.0256185038793734,96,163944
"",2021-01-18,104101,33457,1360,312,0,466,68506,8284475,1.99497826177835,21,1530944
"",2021-01-18,104101,33457,1360,312,0,466,68506,8284475,0.26109391124871,74.5,193800
"",2021-01-18,104101,33457,1360,312,0,466,68506,8284475,2.63171460975358,71,77592
"",2021-01-18,104101,33457,1360,312,0,466,68506,8284475,1.25663183488224,31,4144969
"",2021-01-25,121866,50833,1780,336,14,1019,67884,7500158,NA,NA,0
"",2021-01-25,121866,50833,1780,336,14,1019,67884,7500158,NA,87,0
"",2021-01-25,121866,50833,1780,336,14,1019,67884,7500158,NA,NA,0
"",2021-01-25,121866,50833,1780,336,14,1019,67884,7500158,NA,NA,0
"",2021-01-25,121866,50833,1780,336,14,1019,67884,7500158,NA,20,0
"",2021-01-25,121866,50833,1780,336,14,1019,67884,7500158,NA,20,0
"",2021-01-25,121866,50833,1780,336,14,1019,67884,7500158,NA,NA,0
"",2021-01-25,121866,50833,1780,336,14,1019,67884,7500158,NA,50.5,0
"",2021-01-25,121866,50833,1780,336,14,1019,67884,7500158,NA,21,0
"",2021-01-25,121866,50833,1780,336,14,1019,67884,7500158,NA,NA,0
"",2021-01-25,121866,50833,1780,336,14,1019,67884,7500158,NA,81,0
"",2021-01-25,121866,50833,1780,336,14,1019,67884,7500158,NA,NA,0
"",2021-01-25,121866,50833,1780,336,14,1019,67884,7500158,NA,NA,0
"",2021-01-25,121866,50833,1780,336,14,1019,67884,7500158,NA,NA,0
"",2021-01-25,121866,50833,1780,336,14,1019,67884,7500158,NA,NA,0
"",2021-01-25,121866,50833,1780,336,14,1019,67884,7500158,NA,NA,0
"",2021-01-25,121866,50833,1780,336,14,1019,67884,7500158,0.520420205459576,85,103378
"",2021-01-25,121866,50833,1780,336,14,1019,67884,7500158,0.978317671477256,32,1831307
"",2021-01-25,121866,50833,1780,336,14,1019,67884,7500158,0.0351404018784142,148,156515
"",2021-01-25,121866,50833,1780,336,14,1019,67884,7500158,2.86856093895669,21,1384771
"",2021-01-25,121866,50833,1780,336,14,1019,67884,7500158,0.207992122423962,86,199046
"",2021-01-25,121866,50833,1780,336,14,1019,67884,7500158,2.51197341413352,65,71617
"",2021-01-25,121866,50833,1780,336,14,1019,67884,7500158,1.6250062607832,25,3753524
"",2021-02-01,107189,41828,1684,478,78,1390,61731,6393298,NA,34,0
"",2021-02-01,107189,41828,1684,478,78,1390,61731,6393298,NA,83,0
"",2021-02-01,107189,41828,1684,478,78,1390,61731,6393298,NA,NA,0
"",2021-02-01,107189,41828,1684,478,78,1390,61731,6393298,NA,NA,0
"",2021-02-01,107189,41828,1684,478,78,1390,61731,6393298,NA,21,0
"",2021-02-01,107189,41828,1684,478,78,1390,61731,6393298,NA,16,0
"",2021-02-01,107189,41828,1684,478,78,1390,61731,6393298,NA,NA,0
"",2021-02-01,107189,41828,1684,478,78,1390,61731,6393298,NA,41,0
"",2021-02-01,107189,41828,1684,478,78,1390,61731,6393298,NA,36.5,0
"",2021-02-01,107189,41828,1684,478,78,1390,61731,6393298,NA,NA,0
"",2021-02-01,107189,41828,1684,478,78,1390,61731,6393298,NA,71,0
"",2021-02-01,107189,41828,1684,478,78,1390,61731,6393298,NA,NA,0
"",2021-02-01,107189,41828,1684,478,78,1390,61731,6393298,NA,NA,0
"",2021-02-01,107189,41828,1684,478,78,1390,61731,6393298,NA,NA,0
"",2021-02-01,107189,41828,1684,478,78,1390,61731,6393298,NA,NA,0
"",2021-02-01,107189,41828,1684,478,78,1390,61731,6393298,NA,NA,0
"",2021-02-01,107189,41828,1684,478,78,1390,61731,6393298,0.723221762631005,95,78814
"",2021-02-01,107189,41828,1684,478,78,1390,61731,6393298,1.17520789545218,36,1497267
"",2021-02-01,107189,41828,1684,478,78,1390,61731,6393298,0.0765824902823899,82,155388
"",2021-02-01,107189,41828,1684,478,78,1390,61731,6393298,2.69278214283389,25,1228952
"",2021-02-01,107189,41828,1684,478,78,1390,61731,6393298,0.382334982509601,77,175239
"",2021-02-01,107189,41828,1684,478,78,1390,61731,6393298,2.26851851851852,58,58320
"",2021-02-01,107189,41828,1684,478,78,1390,61731,6393298,1.67838895664639,29,3199318
"",2021-02-08,123262,55838,2349,726,14,1842,62493,5426342,NA,29,0
"",2021-02-08,123262,55838,2349,726,14,1842,62493,5426342,NA,NA,0
"",2021-02-08,123262,55838,2349,726,14,1842,62493,5426342,NA,NA,0
"",2021-02-08,123262,55838,2349,726,14,1842,62493,5426342,NA,NA,0
"",2021-02-08,123262,55838,2349,726,14,1842,62493,5426342,NA,22.5,0
"",2021-02-08,123262,55838,2349,726,14,1842,62493,5426342,NA,NA,0
"",2021-02-08,123262,55838,2349,726,14,1842,62493,5426342,NA,NA,0
"",2021-02-08,123262,55838,2349,726,14,1842,62493,5426342,NA,NA,0
"",2021-02-08,123262,55838,2349,726,14,1842,62493,5426342,NA,27,0
"",2021-02-08,123262,55838,2349,726,14,1842,62493,5426342,NA,NA,0
"",2021-02-08,123262,55838,2349,726,14,1842,62493,5426342,NA,65,0
"",2021-02-08,123262,55838,2349,726,14,1842,62493,5426342,NA,NA,0
"",2021-02-08,123262,55838,2349,726,14,1842,62493,5426342,NA,NA,0
"",2021-02-08,123262,55838,2349,726,14,1842,62493,5426342,NA,NA,0
"",2021-02-08,123262,55838,2349,726,14,1842,62493,5426342,NA,65,0
"",2021-02-08,123262,55838,2349,726,14,1842,62493,5426342,NA,NA,0
"",2021-02-08,123262,55838,2349,726,14,1842,62493,5426342,0.68100960437312,81,65491
"",2021-02-08,123262,55838,2349,726,14,1842,62493,5426342,1.65897763726255,28,1252217
"",2021-02-08,123262,55838,2349,726,14,1842,62493,5426342,0.101433270112597,83,166612
"",2021-02-08,123262,55838,2349,726,14,1842,62493,5426342,3.72860475096412,20,1027623
"",2021-02-08,123262,55838,2349,726,14,1842,62493,5426342,0.410568130315391,71,150036
"",2021-02-08,123262,55838,2349,726,14,1842,62493,5426342,2.34294487559678,51,47547
"",2021-02-08,123262,55838,2349,726,14,1842,62493,5426342,2.27019422736026,23,2716816
"",2021-02-15,126411,65634,2362,1017,22,2138,55238,5053043,NA,22,0
"",2021-02-15,126411,65634,2362,1017,22,2138,55238,5053043,NA,66,0
"",2021-02-15,126411,65634,2362,1017,22,2138,55238,5053043,NA,NA,0
"",2021-02-15,126411,65634,2362,1017,22,2138,55238,5053043,NA,NA,0
"",2021-02-15,126411,65634,2362,1017,22,2138,55238,5053043,NA,22,0
"",2021-02-15,126411,65634,2362,1017,22,2138,55238,5053043,NA,23,0
"",2021-02-15,126411,65634,2362,1017,22,2138,55238,5053043,NA,NA,0
"",2021-02-15,126411,65634,2362,1017,22,2138,55238,5053043,NA,NA,0
"",2021-02-15,126411,65634,2362,1017,22,2138,55238,5053043,NA,23,0
"",2021-02-15,126411,65634,2362,1017,22,2138,55238,5053043,NA,NA,0
"",2021-02-15,126411,65634,2362,1017,22,2138,55238,5053043,NA,58,0
"",2021-02-15,126411,65634,2362,1017,22,2138,55238,5053043,NA,NA,0
"",2021-02-15,126411,65634,2362,1017,22,2138,55238,5053043,NA,NA,0
"",2021-02-15,126411,65634,2362,1017,22,2138,55238,5053043,NA,NA,0
"",2021-02-15,126411,65634,2362,1017,22,2138,55238,5053043,NA,10,0
"",2021-02-15,126411,65634,2362,1017,22,2138,55238,5053043,NA,NA,0
"",2021-02-15,126411,65634,2362,1017,22,2138,55238,5053043,0.650530000330218,81,60566
"",2021-02-15,126411,65634,2362,1017,22,2138,55238,5053043,1.64819492542255,27,1069291
"",2021-02-15,126411,65634,2362,1017,22,2138,55238,5053043,0.0789871589447316,66,177244
"",2021-02-15,126411,65634,2362,1017,22,2138,55238,5053043,4.20955634912465,17,1010344
"",2021-02-15,126411,65634,2362,1017,22,2138,55238,5053043,0.656938405005958,85,160289
"",2021-02-15,126411,65634,2362,1017,22,2138,55238,5053043,2.40627253064167,45,44384
"",2021-02-15,126411,65634,2362,1017,22,2138,55238,5053043,2.4995209261436,22,2530925
"",2021-02-22,136866,77427,2582,1452,24,3235,52146,5398355,NA,18,0
"",2021-02-22,136866,77427,2582,1452,24,3235,52146,5398355,NA,39,0
"",2021-02-22,136866,77427,2582,1452,24,3235,52146,5398355,NA,NA,0
"",2021-02-22,136866,77427,2582,1452,24,3235,52146,5398355,NA,NA,0
"",2021-02-22,136866,77427,2582,1452,24,3235,52146,5398355,NA,31,0
"",2021-02-22,136866,77427,2582,1452,24,3235,52146,5398355,NA,33,0
"",2021-02-22,136866,77427,2582,1452,24,3235,52146,5398355,NA,NA,0
"",2021-02-22,136866,77427,2582,1452,24,3235,52146,5398355,NA,NA,0
"",2021-02-22,136866,77427,2582,1452,24,3235,52146,5398355,NA,NA,0
"",2021-02-22,136866,77427,2582,1452,24,3235,52146,5398355,NA,NA,0
"",2021-02-22,136866,77427,2582,1452,24,3235,52146,5398355,NA,53,0
"",2021-02-22,136866,77427,2582,1452,24,3235,52146,5398355,NA,NA,0
"",2021-02-22,136866,77427,2582,1452,24,3235,52146,5398355,NA,NA,0
"",2021-02-22,136866,77427,2582,1452,24,3235,52146,5398355,NA,NA,0
"",2021-02-22,136866,77427,2582,1452,24,3235,52146,5398355,NA,47.5,0
"",2021-02-22,136866,77427,2582,1452,24,3235,52146,5398355,NA,NA,0
"",2021-02-22,136866,77427,2582,1452,24,3235,52146,5398355,0.603798655619822,81,51176
"",2021-02-22,136866,77427,2582,1452,24,3235,52146,5398355,1.7641282330979,25,1121177
"",2021-02-22,136866,77427,2582,1452,24,3235,52146,5398355,0.0523554938029218,62,198642
"",2021-02-22,136866,77427,2582,1452,24,3235,52146,5398355,4.15863117664842,21,1108105
"",2021-02-22,136866,77427,2582,1452,24,3235,52146,5398355,0.635424475262369,68,170752
"",2021-02-22,136866,77427,2582,1452,24,3235,52146,5398355,2.06166504876809,37,43266
"",2021-02-22,136866,77427,2582,1452,24,3235,52146,5398355,2.53153420569067,24,2705237
"",2021-03-01,144580,85969,3180,1708,176,4300,49247,5455129,NA,17,0
"",2021-03-01,144580,85969,3180,1708,176,4300,49247,5455129,NA,33,0
"",2021-03-01,144580,85969,3180,1708,176,4300,49247,5455129,NA,NA,0
"",2021-03-01,144580,85969,3180,1708,176,4300,49247,5455129,NA,NA,0
"",2021-03-01,144580,85969,3180,1708,176,4300,49247,5455129,NA,33,0
