"gisaid_collect_weekstartdate","Alpha","Beta","Gamma","Delta","All VOIs","Other","Sequencing as % of new cases","Submission Lag","New Weekly Cases"
2019-12-23,NA,NA,NA,NA,NA,NA,NA,NA,0
2019-12-30,NA,NA,NA,NA,NA,NA,NA,NA,0
2020-01-06,NA,NA,NA,NA,NA,NA,NA,NA,0
2020-01-13,NA,NA,NA,NA,NA,NA,NA,NA,0
2020-01-20,NA,NA,NA,NA,NA,NA,NA,NA,0
2020-01-27,0,0,0,0,0,100,100,37,2
2020-02-03,NA,NA,NA,NA,NA,NA,0,NA,1
2020-02-10,NA,NA,NA,NA,NA,NA,NA,NA,0
2020-02-17,NA,NA,NA,NA,NA,NA,NA,NA,0
2020-02-24,0,0,0,0,0,100,NA,239,0
2020-03-02,0,0,0,0,0,100,25,34,36
2020-03-09,0,0,0,0,0,100,40.5405405405405,48,74
2020-03-16,0,0,0,0,0,100,12.0141342756184,46.5,283
2020-03-23,0,0,0,0,0,100,9.07643312101911,35,628
2020-03-30,0,0,0,0,0,100,5.53822152886115,49,2564
2020-04-06,0,0,0,0,0,100,1.3530354281645,51,5617
2020-04-13,0,0,0,0,0,100,1.26040428061831,47.5,8410
2020-04-20,0,0,0,0,0,100,1.09002433090024,42,10275
2020-04-27,0,0,0,0,0,100,1.6900444748546,35,14615
2020-05-04,0,0,0,0,0,100,0.896333549643089,33,24656
2020-05-11,0,0,0,0,0,100,0.981182324701265,67,28537
2020-05-18,0,0,0,0,0,100,0.85671599981325,61,42838
2020-05-25,0,0,0,0,0,100,0.689416780289209,59,52073
2020-06-01,0,0,0,0,0,100,0.33045740688129,47,66877
2020-06-08,0,0,0,0,0,100,0.415009741386213,27,74938
2020-06-15,0,0,0,0,0,100,0.460918822287794,48,92858
2020-06-22,0,0,0,0,0,100,0.0967196592867128,151,123036
2020-06-29,0,0,0,0,0,100,0.103960562057748,204,149095
2020-07-06,0,0,0,0,0,100,0.0586150264597077,156.5,180841
2020-07-13,0,0,0,0,0,100,0.0733480029339201,98,239952
2020-07-20,0,0,0,0,0,100,0.034655492895624,147,317410
2020-07-27,0,0,0,0,0,100,0.0725387756432722,175,368079
2020-08-03,0,0,0,0,0,100,0.0340318781464294,102,411379
2020-08-10,0,0,0,0,0,100,0.0531682497705674,40,432589
2020-08-17,0,0,0,0,0,100,0.0115547707032059,34,458685
2020-08-24,0,0,0,0,0,100,0.0295204672002362,155,514897
2020-08-31,0.609756097560976,0,0,0,0,99.390243902439,0.0281126150217358,209,583368
2020-09-07,0,0,0,0,0,100,0.0344336521172801,145,641814
2020-09-14,0,0,0,0,0,100,0.0322855854998729,140,641153
2020-09-21,0,0,0,0,0,100,0.0241857739958646,133,587122
2020-09-28,0,0,0,0,0,100,0.0353297044506322,178,549113
2020-10-05,0,0,0,0,0,100,0.0334190283115539,197,496723
2020-10-12,0,0,0,0,0,100,0.0279241858354567,235.5,429735
2020-10-19,0,0,0,0,0,100,0.0442052234448936,205,359686
2020-10-26,0,0,0,0,0,100,0.0397677812083143,156,319354
2020-11-02,0,0,0,0,0,100,0.0348395530671139,145,324344
2020-11-09,0,0,0,0,0,100,0.0250454592239338,138,291470
2020-11-16,0,0,0,1.53846153846154,0,98.4615384615385,0.0220534847898812,130,294738
2020-11-23,1.21359223300971,0,0,0.242718446601942,0,98.5436893203884,0.141180018230041,192,291826
2020-11-30,0.515463917525773,0,0,0.515463917525773,0.515463917525773,98.4536082474227,0.158037081690508,161,245512
2020-12-07,0.272479564032698,0,0,0.544959128065395,0.272479564032698,98.9100817438692,0.177382949003611,147,206897
2020-12-14,0.99009900990099,0,0,0.165016501650165,0.495049504950495,98.3498349834984,0.353435203546017,171,171460
2020-12-21,9.60548885077187,0,0,0,0.171526586620926,90.2229845626072,0.382769465107576,144,152311
2020-12-28,6.63716814159292,0.884955752212389,0,1.32743362831858,3.98230088495575,87.1681415929203,0.170439976470233,112,132598
2021-01-04,2.29357798165138,0,0,0.917431192660551,1.8348623853211,94.954128440367,0.172843029985887,122.5,126126
2021-01-11,5.15873015873016,0,0,0.793650793650794,0.396825396825397,93.6507936507936,0.23959383140961,79,105178
2021-01-18,8.16326530612245,0,0,0,0.680272108843537,91.156462585034,0.306368079363922,91,95963
2021-01-25,7.04845814977974,0,0,1.76211453744493,3.08370044052863,88.1057268722467,0.252575828381957,95,89874
2021-02-01,7.75047258979206,0.945179584120983,0,5.4820415879017,5.86011342155009,79.9621928166352,0.656457857639234,92,80584
2021-02-08,17.9381443298969,0,0,0.824742268041237,9.07216494845361,72.1649484536082,0.618661904458192,114,78395
2021-02-15,10.8545034642032,0.577367205542725,0,1.03926096997691,17.4364896073903,70.0923787528868,0.970188548190139,109,89261
