"gisaid_collect_weekstartdate","gisaid_country","owid_continent","aggregate_location","all_lineages","owid_new_cases","gisaid_lagdays_q3","sequences_over_new_cases","who_alpha","who_beta","who_gamma","who_delta","who_allvois","who_other","type","value"
2019-12-23,"India","Asia","",0,0,NA,NA,0,0,0,0,0,0,"owid_population",1380004385
2019-12-30,"India","Asia","",0,0,NA,NA,0,0,0,0,0,0,"owid_population",1380004385
2020-01-06,"India","Asia","",0,0,NA,NA,0,0,0,0,0,0,"owid_population",1380004385
2020-01-13,"India","Asia","",0,0,NA,NA,0,0,0,0,0,0,"owid_population",1380004385
2020-01-20,"India","Asia","",0,0,NA,NA,0,0,0,0,0,0,"owid_population",1380004385
2020-01-27,"India","Asia","",2,2,38,1,0,0,0,0,0,2,"owid_population",1380004385
2020-02-03,"India","Asia","",0,1,NA,0,0,0,0,0,0,0,"owid_population",1380004385
2020-02-10,"India","Asia","",0,0,NA,NA,0,0,0,0,0,0,"owid_population",1380004385
2020-02-17,"India","Asia","",0,0,NA,NA,0,0,0,0,0,0,"owid_population",1380004385
2020-02-24,"India","Asia","",2,0,329,NA,0,0,0,0,0,2,"owid_population",1380004385
2020-03-02,"India","Asia","",9,36,34,0.25,0,0,0,0,0,9,"owid_population",1380004385
2020-03-09,"India","Asia","",30,74,76,0.405405405405405,0,0,0,0,0,30,"owid_population",1380004385
2020-03-16,"India","Asia","",34,283,67.75,0.120141342756184,0,0,0,0,0,34,"owid_population",1380004385
2020-03-23,"India","Asia","",57,628,63,0.0907643312101911,0,0,0,0,0,57,"owid_population",1380004385
2020-03-30,"India","Asia","",142,2564,61,0.0553822152886115,0,0,0,0,0,142,"owid_population",1380004385
2020-04-06,"India","Asia","",76,5617,139.25,0.013530354281645,0,0,0,0,0,76,"owid_population",1380004385
2020-04-13,"India","Asia","",106,8410,127.75,0.0126040428061831,0,0,0,0,0,106,"owid_population",1380004385
2020-04-20,"India","Asia","",112,10275,101,0.0109002433090024,0,0,0,0,0,112,"owid_population",1380004385
2020-04-27,"India","Asia","",247,14615,99,0.016900444748546,0,0,0,0,0,247,"owid_population",1380004385
2020-05-04,"India","Asia","",221,24656,92,0.00896333549643089,0,0,0,0,0,221,"owid_population",1380004385
2020-05-11,"India","Asia","",280,28537,101,0.00981182324701265,0,0,0,0,0,280,"owid_population",1380004385
2020-05-18,"India","Asia","",367,42838,109,0.0085671599981325,0,0,0,0,0,367,"owid_population",1380004385
2020-05-25,"India","Asia","",359,52073,103,0.00689416780289209,0,0,0,0,0,359,"owid_population",1380004385
2020-06-01,"India","Asia","",221,66877,70,0.0033045740688129,0,0,0,0,0,221,"owid_population",1380004385
2020-06-08,"India","Asia","",311,74938,47.5,0.00415009741386213,0,0,0,0,0,311,"owid_population",1380004385
2020-06-15,"India","Asia","",428,92858,72.5,0.00460918822287794,0,0,0,0,0,428,"owid_population",1380004385
2020-06-22,"India","Asia","",119,123036,175,0.000967196592867128,0,0,0,0,0,119,"owid_population",1380004385
2020-06-29,"India","Asia","",155,149095,208,0.00103960562057748,0,0,0,0,0,155,"owid_population",1380004385
2020-07-06,"India","Asia","",106,180841,160,0.000586150264597077,0,0,0,0,0,106,"owid_population",1380004385
2020-07-13,"India","Asia","",176,239952,153,0.000733480029339201,0,0,0,0,0,176,"owid_population",1380004385
