"gisaid_collect_weekstartdate","Alpha","Beta","Gamma","Delta","All VOIs","Other","Sequencing as % of new cases","Submission Lag","New Weekly Cases"
2019-12-23,NA,NA,NA,NA,NA,NA,NA,NA,0
2019-12-30,NA,NA,NA,NA,NA,NA,NA,NA,0
2020-01-06,NA,NA,NA,NA,NA,NA,NA,NA,0
2020-01-13,NA,NA,NA,NA,NA,NA,NA,NA,0
2020-01-20,NA,NA,NA,NA,NA,NA,NA,NA,0
2020-01-27,0,0,0,0,0,100,150,5,2
2020-02-03,0,0,0,0,0,100,83.3333333333333,34,12
2020-02-10,0,0,0,0,0,100,425,119,4
2020-02-17,0,0,0,0,0,100,60,305,10
2020-02-24,0,0,0,0,0,100,300,103,66
2020-03-02,0,0,0,0,0,100,170.179948586118,98,389
2020-03-09,0,0,0,0,0,100,50.5782575173477,90,2594
2020-03-16,0,0,0,0,0,100,33.1784640612189,52,7318
2020-03-23,0,0,0,0,0,100,26.724270156961,50,19559
2020-03-30,0,0,0,0,0,100,18.9049192830812,42,31468
2020-04-06,0,0,0,0,0,100,16.0389008953381,40,32390
2020-04-13,0,0,0,0,0,100,13.1575716653367,53,32582
2020-04-20,0,0,0,0,0,100,10.2914053854666,60,32532
2020-04-27,0,0,0,0,0,100,8.77135988564746,52,30782
2020-05-04,0,0,0,0,0,100,9.2419943250912,49,22203
2020-05-11,0,0,0,0,0,100,8.00683194451633,42,19321
2020-05-18,0,0,0,0,0,100,7.72540335336919,42,15805
2020-05-25,0,0,0,0,0,100,7.1510188535517,31,10502
2020-06-01,0,0,0,0,0,100,12.5815585374862,113,8123
2020-06-08,0,0,0,0,0,100,36.7060458651842,108,7195
2020-06-15,0,0,0,0,0,100,32.3708443889496,102,6407
2020-06-22,0,0,0,0,0,100,20.9618506493506,96,4928
2020-06-29,0,0,0,0,0,100,45.7466228550566,88,2739
2020-07-06,0,0,0,0,0,100,4.54653090220223,62,4223
2020-07-13,0,0,0,0,0,100,17.2367409684858,72,5204
2020-07-20,0,0,0,0,0,100,13.6207636207636,52,4662
2020-07-27,0,0,0,0,0,100,10.3422197012668,45,5289
2020-08-03,0,0,0,0,0,100,14.9720670391061,36,6265
2020-08-10,0,0,0,0,0,100,18.149053932295,31,7769
2020-08-17,0,0,0,0,0,100,24.2054794520548,35,7300
2020-08-24,0,0,0,0,0,100,26.2714681440443,31,9025
2020-08-31,0,0,0,0,0,100,17.3160847880299,28,12832
2020-09-07,0,0,0,0,0,100,16.0694288913774,21,21432
2020-09-14,0.0266737796745799,0,0,0,0,99.9733262203254,14.5231269853568,24,25814
2020-09-21,0.0335289186923722,0,0,0,0,99.9664710813076,14.6297795109509,25,40773
2020-09-28,0.0647808248758368,0,0,0,0,99.9352191751242,6.80009397668204,25,68102
2020-10-05,0.0581226387678001,0,0,0,0,99.9418773612322,6.82548498432975,21,100828
2020-10-12,0.0442412623506857,0,0,0,0,99.9557587376493,5.70575118852287,20,118845
2020-10-19,0.366063738156761,0,0,0,0,99.6339362618432,6.12875128672104,20,151548
2020-10-26,0.966313246544088,0,0,0,0,99.0336867534559,4.6218070390909,22,161214
2020-11-02,2.72175445467006,0,0,0.0097904836498923,0,97.26845506168,6.49348998067338,18,157296
2020-11-09,6.25058220773172,0,0,0,0,93.7494177922683,6.04672907724717,20,177534
2020-11-16,10.1059381098411,0,0,0,0,89.8940618901589,5.01962650172475,30,142919
2020-11-23,10.6598984771574,0,0,0,0,89.3401015228426,4.10794005857653,23,105503
2020-11-30,14.3737672583826,0,0,0,0,85.6262327416174,3.81038272927118,20,106446
2020-12-07,33.2730752871119,0.0425350914504466,0,0,0,66.6843896214377,7.41997333101887,18,126739
2020-12-14,45.7908802405211,0.108568565224653,0,0,0.0167028561884082,54.0838483380658,6.2471631076167,20,191671
2020-12-21,52.5533035009213,0.223743090286918,0,0,0,47.2229534087918,3.05057253440827,20,249068
2020-12-28,71.5362155034379,0.282565696524442,0,0,0.00941885655081473,28.1717999434869,2.8892075837277,15,367471
2021-01-04,75.4947229551451,0.197889182058048,0,0,0.0412269129287599,24.2661609498681,2.896799142043,15,418669
2021-01-11,80.5335395321864,0.27063599458728,0,0,0.0644371415684,19.131387331658,4.78432170470941,15,324372
2021-01-18,86.3867509620671,0.206157229246839,0,0,0.0962067069818582,13.3108851017042,5.7719233530464,15,252117
2021-01-25,91.8105741788807,0.10641900062884,0,0,0.0919073187249069,7.99109950176559,12.1373131524253,14,170326
2021-02-01,92.8217821782178,0.187777398429498,0.0170706725844998,0,0.110959371799249,6.86241037896893,9.08259298882118,14,128994
2021-02-08,95.2739059967585,0.168557536466775,0.00648298217179903,0.00648298217179903,0.123176661264182,4.42139384116694,16.6319830068037,13,92743
