"gisaid_collect_weekstartdate","gisaid_country","owid_continent","aggregate_location","all_lineages","owid_new_cases","gisaid_lagdays_q3","sequences_over_new_cases","who_alpha","who_beta","who_gamma","who_delta","who_allvois","who_other","Type","Submission Lag"
2019-12-23,"United Kingdom","Europe","",0,0,NA,NA,0,0,0,0,0,0,"owid_population",67886004
2019-12-30,"United Kingdom","Europe","",0,0,NA,NA,0,0,0,0,0,0,"owid_population",67886004
2020-01-06,"United Kingdom","Europe","",0,0,NA,NA,0,0,0,0,0,0,"owid_population",67886004
2020-01-13,"United Kingdom","Europe","",0,0,NA,NA,0,0,0,0,0,0,"owid_population",67886004
2020-01-20,"United Kingdom","Europe","",0,0,NA,NA,0,0,0,0,0,0,"owid_population",67886004
2020-01-27,"United Kingdom","Europe","",3,2,261.5,1.5,0,0,0,0,0,3,"owid_population",67886004
2020-02-03,"United Kingdom","Europe","",10,12,123,0.833333333333333,0,0,0,0,0,10,"owid_population",67886004
2020-02-10,"United Kingdom","Europe","",17,4,501,4.25,0,0,0,0,0,17,"owid_population",67886004
2020-02-17,"United Kingdom","Europe","",6,10,496.75,0.6,0,0,0,0,0,6,"owid_population",67886004
2020-02-24,"United Kingdom","Europe","",198,66,139.75,3,0,0,0,0,0,198,"owid_population",67886004
2020-03-02,"United Kingdom","Europe","",662,389,100,1.70179948586118,0,0,0,0,0,662,"owid_population",67886004
2020-03-09,"United Kingdom","Europe","",1312,2594,94,0.505782575173477,0,0,0,0,0,1312,"owid_population",67886004
2020-03-16,"United Kingdom","Europe","",2428,7318,115,0.331784640612189,0,0,0,0,0,2428,"owid_population",67886004
2020-03-23,"United Kingdom","Europe","",5227,19559,108,0.26724270156961,0,0,0,0,0,5227,"owid_population",67886004
2020-03-30,"United Kingdom","Europe","",5949,31468,80,0.189049192830812,0,0,0,0,0,5949,"owid_population",67886004
2020-04-06,"United Kingdom","Europe","",5195,32390,83,0.160389008953381,0,0,0,0,0,5195,"owid_population",67886004
2020-04-13,"United Kingdom","Europe","",4287,32582,76,0.131575716653367,0,0,0,0,0,4287,"owid_population",67886004
2020-04-20,"United Kingdom","Europe","",3348,32532,82,0.102914053854666,0,0,0,0,0,3348,"owid_population",67886004
2020-04-27,"United Kingdom","Europe","",2700,30782,75,0.0877135988564746,0,0,0,0,0,2700,"owid_population",67886004
2020-05-04,"United Kingdom","Europe","",2052,22203,72,0.092419943250912,0,0,0,0,0,2052,"owid_population",67886004
2020-05-11,"United Kingdom","Europe","",1547,19321,69,0.0800683194451633,0,0,0,0,0,1547,"owid_population",67886004
2020-05-18,"United Kingdom","Europe","",1221,15805,69,0.0772540335336919,0,0,0,0,0,1221,"owid_population",67886004
2020-05-25,"United Kingdom","Europe","",751,10502,56,0.071510188535517,0,0,0,0,0,751,"owid_population",67886004
2020-06-01,"United Kingdom","Europe","",1022,8123,116,0.125815585374862,0,0,0,0,0,1022,"owid_population",67886004
2020-06-08,"United Kingdom","Europe","",2641,7195,110,0.367060458651842,0,0,0,0,0,2641,"owid_population",67886004
2020-06-15,"United Kingdom","Europe","",2074,6407,104,0.323708443889496,0,0,0,0,0,2074,"owid_population",67886004
2020-06-22,"United Kingdom","Europe","",1033,4928,97,0.209618506493506,0,0,0,0,0,1033,"owid_population",67886004
2020-06-29,"United Kingdom","Europe","",1253,2739,90,0.457466228550566,0,0,0,0,0,1253,"owid_population",67886004
2020-07-06,"United Kingdom","Europe","",192,4223,84,0.0454653090220223,0,0,0,0,0,192,"owid_population",67886004
2020-07-13,"United Kingdom","Europe","",897,5204,74,0.172367409684858,0,0,0,0,0,897,"owid_population",67886004
2020-07-20,"United Kingdom","Europe","",635,4662,67,0.136207636207636,0,0,0,0,0,635,"owid_population",67886004
2020-07-27,"United Kingdom","Europe","",547,5289,58,0.103422197012668,0,0,0,0,0,547,"owid_population",67886004
2020-08-03,"United Kingdom","Europe","",938,6265,39,0.149720670391061,0,0,0,0,0,938,"owid_population",67886004
2020-08-10,"United Kingdom","Europe","",1410,7769,32,0.18149053932295,0,0,0,0,0,1410,"owid_population",67886004
2020-08-17,"United Kingdom","Europe","",1767,7300,41,0.242054794520548,0,0,0,0,0,1767,"owid_population",67886004
2020-08-24,"United Kingdom","Europe","",2371,9025,34,0.262714681440443,0,0,0,0,0,2371,"owid_population",67886004
