"gisaid_collect_weekstartdate","Alpha","Beta","Gamma","Delta","All VOIs","Other","Sequencing as % of new cases","Submission Lag","New Weekly Cases"
2019-12-23,NA,NA,NA,NA,NA,NA,NA,NA,0
2019-12-30,NA,NA,NA,NA,NA,NA,NA,NA,0
2020-01-06,NA,NA,NA,NA,NA,NA,NA,NA,0
2020-01-13,0,0,0,0,0,100,NA,266,0
2020-01-20,0,0,0,0,0,100,75,5,4
2020-01-27,0,0,0,0,0,100,233.333333333333,10,3
2020-02-03,0,0,0,0,0,100,25,16,4
2020-02-10,0,0,0,0,0,100,100,11.5,2
2020-02-17,0,0,0,0,0,100,300,31.5,2
2020-02-24,0,0,0,0,0,100,668.75,25,16
2020-03-02,0,0,0,0,0,100,104.517453798768,42,487
2020-03-09,0,0,0,0,0,100,97.8091347939101,176,2693
2020-03-16,0,0,0,0,0,100,13.9714700498643,193,31686
2020-03-23,0,0,0,0,0,100,3.63714752233658,116,109014
2020-03-30,0,0,0,0,0,100,1.93652553196617,99,207485
2020-04-06,0,0,0.0348918353105373,0,0,99.9651081646895,1.3022063901712,164,220088
2020-04-13,0.0397772474144789,0,0,0,0,99.9602227525855,1.26840294245265,161,198202
2020-04-20,0,0,0,0,0.042571306939123,99.9574286930609,1.13224463039371,138,207464
2020-04-27,0,0,0,0,0,100,1.49005405972813,156,190530
2020-05-04,0,0,0,0,0,100,1.27184154487909,149,171405
2020-05-11,0,0,0,0,0,100,1.50385054647772,134,156731
2020-05-18,0,0,0,0,0,100,1.15197814751702,126,156687
2020-05-25,0,0,0,0,0,100,1.20378155568771,118,146289
2020-06-01,0,0,0,0,0,100,1.25600397504555,115.5,144904
2020-06-08,0,0,0,0,0,100,1.42706874719444,108,149257
2020-06-15,0,0,0,0,0,100,1.89071497312271,136,188077
2020-06-22,0.0263504611330698,0,0,0,0,99.9736495388669,1.38765480852558,102,273483
2020-06-29,0,0,0,0,0,100,1.11929667467133,187,343966
2020-07-06,0.178117048346056,0,0,0,0,99.8218829516539,0.951820447428268,185,412893
2020-07-13,0,0,0,0,0,100,0.490384305986078,167,466165
2020-07-20,0.287120590648072,0,0,0,0,99.7128794093519,0.531525246359117,247,458680
2020-07-27,0.330943188086045,0,0,0,0,99.669056811914,0.418692193111093,155,433015
2020-08-03,0.145772594752187,0,0,0,0,99.8542274052478,0.727280437640473,241,377296
2020-08-10,1.26737530662306,0,0,0,0,98.7326246933769,0.690055971833529,147,354464
2020-08-17,0,0,0,0,0,100,0.697192513368984,141,299200
2020-08-24,0,0,0,0,0,100,0.635915316533455,136,291391
2020-08-31,0,0,0,0,0,100,0.624575695858792,127,287235
2020-09-07,0,0,0,0,0,100,0.712981088186874,122,244186
2020-09-14,0,0,0,0,0,100,0.660750123261321,116,288006
2020-09-21,0,0,0,0,0,100,0.58298639482251,110,308412
2020-09-28,0,0,0,0,0,100,0.538223861257849,99,300990
2020-10-05,0.0496277915632754,0,0,0,0,99.9503722084367,0.573032493644032,95,351638
2020-10-12,0,0,0,0,0,100,0.556435563137159,87,393936
2020-10-19,0.0341880341880342,0,0,0,0,99.965811965812,0.589494304578103,88,496188
2020-10-26,0,0,0,0,0,100,0.567779382788479,115,608511
2020-11-02,0.0896726946644747,0,0,0,0,99.9103273053355,0.818941776923736,144,817030
2020-11-09,0.0312061163988142,0,0,0,0,99.9687938836012,0.606271012318398,128,1057118
2020-11-16,0.0857927247769389,0,0,0,0.0171585449553878,99.8970487302677,0.479253062556998,105,1216059
2020-11-23,0.0768049155145929,0,0,0,0.0768049155145929,99.8463901689708,0.339804642778847,63,1149484
2020-11-30,0.0595149531319744,0,0,0,0.074393691414968,99.8660913554531,0.478470943266203,80,1404683
2020-12-07,0.0966183574879227,0,0,0,0.161030595813205,99.7423510466989,0.408877043232986,110,1518794
2020-12-14,0.203029829767297,0.015617679212869,0,0,0.15617679212869,99.6251756988911,0.420752017842041,85,1521799
2020-12-21,0.345731998092513,0,0,0,0.298044825941822,99.3562231759657,0.644868650680772,54,1300730
2020-12-28,1.19386014781126,0.0189501610763691,0,0,0.672730718211105,98.1144589729013,0.700289033449849,53,1507092
2021-01-04,1.23251165889407,0.0399733510992672,0.00666222518321119,0,0.719520319786809,98.0013324450366,0.871326901419897,45,1722660
2021-01-11,1.63881953780168,0.0384098329172268,0.032008194097689,0,0.857819601818065,97.4329428333653,1.020802252156,44,1530267
2021-01-18,2.36122888265606,0.0326136586002218,0.0195681951601331,0,1.03711434348705,96.5494749200965,1.28870052317997,39,1189648
2021-01-25,3.86370740856518,0.137542982181932,0.0125039074710847,0,2.36949046577055,93.6167552360112,1.53312782998432,30,1043292
2021-02-01,5.71265894856709,0.139178844815588,0.0189789333839438,0,3.28335547542228,90.8458277978111,1.91758287750252,34,824319
